"","x"
"L_ful_Pop129","4"
"L_ful_Pop13","2"
"L_ful_Pop130","4"
"L_ful_Pop131","4"
"L_ful_Pop132","4"
"L_ful_Pop133","7"
"L_ful_Pop134","7"
"L_ful_Pop135","7"
"L_ful_Pop14","2"
"L_ful_Pop140","7"
"L_ful_Pop143","2"
"L_ful_Pop146","2"
"L_ful_Pop147","2"
"L_ful_Pop148","2"
"L_ful_Pop149","2"
"L_ful_Pop15","2"
"L_ful_Pop150","2"
"L_ful_Pop151","2"
"L_ful_Pop152","2"
"L_ful_Pop153","2"
"L_ful_Pop154","2"
"L_ful_Pop155","2"
"L_ful_Pop156","2"
"L_ful_Pop157","2"
"L_ful_Pop158","2"
"L_ful_Pop159","2"
"L_ful_Pop16","2"
"L_ful_Pop160","2"
"L_ful_Pop161","2"
"L_ful_Pop162","2"
"L_ful_Pop163","5"
"L_ful_Pop164","5"
"L_ful_Pop165","5"
"L_ful_Pop166","5"
"L_ful_Pop167","5"
"L_ful_Pop168","5"
"L_ful_Pop169","5"
"L_ful_Pop17","2"
"L_ful_Pop170","5"
"L_ful_Pop171","5"
"L_ful_Pop173","3"
"L_ful_Pop174","1"
"L_ful_Pop175","3"
"L_ful_Pop176","1"
"L_ful_Pop177","1"
"L_ful_Pop178","1"
"L_ful_Pop18","2"
"L_ful_Pop180","1"
"L_ful_Pop181","1"
"L_ful_Pop182","1"
"L_ful_Pop183","1"
"L_ful_Pop184","1"
"L_ful_Pop185","1"
"L_ful_Pop186","3"
"L_ful_Pop188","7"
"L_ful_Pop189","7"
"L_ful_Pop19","2"
"L_ful_Pop190","7"
"L_ful_Pop191","7"
"L_ful_Pop192","7"
"L_ful_Pop193","7"
"L_ful_Pop194","7"
"L_ful_Pop195","7"
"L_ful_Pop196","7"
"L_ful_Pop197","7"
"L_ful_Pop198","4"
"L_ful_Pop199","2"
"L_ful_Pop20","2"
"L_ful_Pop200","2"
"L_ful_Pop201","4"
"L_ful_Pop202","4"
"L_ful_Pop203","2"
"L_ful_Pop204","4"
"L_ful_Pop205","4"
"L_ful_Pop206","4"
"L_ful_Pop207","2"
"L_ful_Pop208","6"
"L_ful_Pop209","6"
"L_ful_Pop210","6"
"L_ful_Pop211","6"
"L_ful_Pop212","6"
"L_ful_Pop213","6"
"L_ful_Pop214","6"
"L_ful_Pop215","7"
"L_ful_Pop216","7"
"L_ful_Pop217","6"
"L_ful_Pop218","5"
"L_ful_Pop219","5"
"L_ful_Pop220","5"
"L_ful_Pop222","5"
"L_ful_Pop223","5"
"L_ful_Pop225","6"
"L_ful_Pop226","5"
"L_ful_Pop227","6"
"L_ful_Pop233","4"
"L_ful_Pop25","2"
"L_ful_Pop26","2"
"L_ful_Pop27","2"
"L_ful_Pop28","3"
"L_ful_Pop29","2"
"L_ful_Pop31","6"
"L_ful_Pop33","3"
"L_ful_Pop34","3"
"L_ful_Pop35","3"
"L_ful_Pop36","3"
"L_ful_Pop37","3"
"L_ful_Pop38","3"
"L_ful_Pop4","2"
"L_ful_Pop41","6"
"L_ful_Pop42","6"
"L_ful_Pop43","6"
"L_ful_Pop44","6"
"L_ful_Pop45","6"
"L_ful_Pop46","6"
"L_ful_Pop47","3"
"L_ful_Pop48","6"
"L_ful_Pop49","6"
"L_ful_Pop5","2"
"L_ful_Pop51","6"
"L_ful_Pop53","6"
"L_ful_Pop54","6"
"L_ful_Pop58","6"
"L_ful_Pop59","6"
"L_ful_Pop60","6"
"L_ful_Pop61","5"
"L_ful_Pop62","5"
"L_ful_Pop63","5"
"L_ful_Pop64","5"
"L_ful_Pop65","5"
"L_ful_Pop66","5"
"L_ful_Pop67","5"
"L_ful_Pop68","5"
"L_ful_Pop69","5"
"L_ful_Pop7","2"
"L_ful_Pop70","5"
"L_ful_Pop71","7"
"L_ful_Pop72","7"
"L_ful_Pop73","7"
"L_ful_Pop74","7"
"L_ful_Pop75","7"
"L_ful_Pop76","7"
"L_ful_Pop77","7"
"L_ful_Pop78","7"
"L_ful_Pop79","7"
"L_ful_Pop80","7"
"L_ful_Pop81","7"
"L_ful_Pop82","7"
"L_ful_Pop83","7"
"L_ful_Pop84","7"
"L_ful_Pop85","5"
"L_ful_Pop86","7"
"L_ful_Pop87","7"
"L_ful_Pop88","7"
"L_ful_Pop89","7"
"L_ful_Pop90","7"
"L_ful_Pop93","2"
"L_ful_Pop94","2"
"L_ful_Pop95","2"
"L_ful_Pop99","2"
"L_gent_Pop10","4"
"L_gent_Pop100","2"
"L_gent_Pop101","2"
"L_gent_Pop102","2"
"L_gent_Pop103","2"
"L_gent_Pop104","4"
"L_gent_Pop105","2"
"L_gent_Pop106","4"
"L_gent_Pop107","4"
"L_gent_Pop108","4"
"L_gent_Pop109","4"
"L_gent_Pop11","4"
"L_gent_Pop110","4"
"L_gent_Pop111","4"
"L_gent_Pop112","4"
"L_gent_Pop113","4"
"L_gent_Pop114","4"
"L_gent_Pop115","4"
"L_gent_Pop116","4"
"L_gent_Pop117","4"
"L_gent_Pop118","4"
"L_gent_Pop119","4"
"L_gent_Pop12","2"
"L_gent_Pop120","4"
"L_gent_Pop121","4"
"L_gent_Pop122","4"
"L_gent_Pop123","2"
"L_gent_Pop124","2"
"L_gent_Pop125","2"
"L_gent_Pop126","2"
"L_gent_Pop127","2"
"L_gent_Pop128","2"
"L_gent_Pop129","2"
"L_gent_Pop13","2"
"L_gent_Pop130","2"
"L_gent_Pop132","2"
"L_gent_Pop133","2"
"L_gent_Pop134","2"
"L_gent_Pop135","2"
"L_gent_Pop136","2"
"L_gent_Pop137","2"
"L_gent_Pop139","2"
"L_gent_Pop14","3"
"L_gent_Pop140","2"
"L_gent_Pop142","2"
"L_gent_Pop143","5"
"L_gent_Pop144","5"
"L_gent_Pop145","5"
"L_gent_Pop146","5"
"L_gent_Pop147","5"
"L_gent_Pop148","5"
"L_gent_Pop149","5"
"L_gent_Pop150","5"
"L_gent_Pop151","5"
